"id","time","kemendagri_kabupaten_kode","kemendagri_kabupaten_nama","street","type","avg_location","total_records","date"
5931593,2022-07-06 00:00:00.000,"32.76",KOTA DEPOK,Dewi Sartika,ROAD_CLOSED,"[106.81841149999966, -6.399794999999999]",240,2022-07-06
5931594,2022-07-06 00:00:00.000,"32.76",KOTA DEPOK,Krukut Raya,WEATHERHAZARD,"[106.79100399999993, -6.363434999999996]",60,2022-07-06
5931595,2022-07-06 00:00:00.000,"32.76",KOTA DEPOK,,JAM,"[106.783179, -6.443203999999998]",22,2022-07-06
5931597,2022-07-06 01:00:00.000,"32.76",KOTA DEPOK,Krukut Raya,WEATHERHAZARD,"[106.79100399999993, -6.363434999999996]",61,2022-07-06
5931596,2022-07-06 01:00:00.000,"32.76",KOTA DEPOK,Dewi Sartika,ROAD_CLOSED,"[106.81841149999966, -6.399794999999998]",244,2022-07-06
5931599,2022-07-06 02:00:00.000,"32.76",KOTA DEPOK,Krukut Raya,WEATHERHAZARD,"[106.79100399999993, -6.363434999999996]",60,2022-07-06
5931598,2022-07-06 02:00:00.000,"32.76",KOTA DEPOK,Dewi Sartika,ROAD_CLOSED,"[106.81841149999966, -6.399794999999998]",240,2022-07-06
5931601,2022-07-06 03:00:00.000,"32.76",KOTA DEPOK,Krukut Raya,WEATHERHAZARD,"[106.79100399999993, -6.363434999999996]",60,2022-07-06
5931600,2022-07-06 03:00:00.000,"32.76",KOTA DEPOK,Dewi Sartika,ROAD_CLOSED,"[106.81841149999966, -6.3997949999999975]",240,2022-07-06
5931603,2022-07-06 04:00:00.000,"32.76",KOTA DEPOK,Krukut Raya,WEATHERHAZARD,"[106.79100399999993, -6.363434999999996]",60,2022-07-06
5931602,2022-07-06 04:00:00.000,"32.76",KOTA DEPOK,Dewi Sartika,ROAD_CLOSED,"[106.81841149999966, -6.3997949999999975]",240,2022-07-06
5931605,2022-07-06 05:00:00.000,"32.76",KOTA DEPOK,Krukut Raya,WEATHERHAZARD,"[106.79100399999993, -6.363434999999996]",60,2022-07-06
5931606,2022-07-06 05:00:00.000,"32.76",KOTA DEPOK,Muhtar Raya,JAM,"[106.76900353846153, -6.403442769230768]",13,2022-07-06
5931607,2022-07-06 05:00:00.000,"32.76",KOTA DEPOK,Tol Jagorawi,JAM,"[106.897671, -6.401319]",3,2022-07-06
5931604,2022-07-06 05:00:00.000,"32.76",KOTA DEPOK,Dewi Sartika,ROAD_CLOSED,"[106.81841149999966, -6.399794999999998]",240,2022-07-06
5931608,2022-07-06 05:00:00.000,"32.76",KOTA DEPOK,Tol Jagorawi,WEATHERHAZARD,"[106.89730899999996, -6.419224]",19,2022-07-06
5931616,2022-07-06 06:00:00.000,"32.76",KOTA DEPOK,Tol Jagorawi,JAM,"[106.89698320231209, -6.393820231213869]",173,2022-07-06
5931609,2022-07-06 06:00:00.000,"32.76",KOTA DEPOK,Bungur Raya,JAM,"[106.80868000000007, -6.368617]",30,2022-07-06
5931610,2022-07-06 06:00:00.000,"32.76",KOTA DEPOK,Dewi Sartika,ROAD_CLOSED,"[106.81841149999966, -6.399794999999998]",240,2022-07-06
5931611,2022-07-06 06:00:00.000,"32.76",KOTA DEPOK,Krukut Raya,WEATHERHAZARD,"[106.79100399999993, -6.363434999999996]",60,2022-07-06
5931612,2022-07-06 06:00:00.000,"32.76",KOTA DEPOK,Lenteng Agung Barat,JAM,"[106.830834, -6.356895000000001]",27,2022-07-06
5931613,2022-07-06 06:00:00.000,"32.76",KOTA DEPOK,Muhtar Raya,JAM,"[106.77268, -6.395132]",5,2022-07-06
5931614,2022-07-06 06:00:00.000,"32.76",KOTA DEPOK,N6 RE Martadinata,JAM,"[106.748337, -6.357618000000001]",32,2022-07-06
